	H174CON1	H174CON2	HNF4AOE1	HNF4AOE2	HNF4GOE1	HNF4GOE2
Mrpl30	1289.27181866118	1384.17016139294	1267.49429036999	1502.55288995441	1223.66829449081	1060.54428183181
Txndc9	1594.1740028708	1410.7888183428	1620.36997745478	1825.32351075943	1695.68008203093	1338.47393971619
Eif5b	2643.15866973765	2533.89138272745	2456.9381951231	2502.02881230927	4143.90725929092	3335.15589461253
Rev1	298.844524920682	270.281747490928	246.243470115245	237.069455970585	293.003543586227	494.979485946462
Pdcl3	2301.91052979444	2115.15943301613	2164.52407436124	2362.9035447209	2526.59894575722	1570.52314614029
Npas2	2242.3435467866	2321.96592162661	2304.13532750694	2414.10164319342	1472.14242415815	1836.10037478536
Rpl31	10786.6719738262	11364.1189285958	9464.98338255475	10267.4447480218	9302.19456765391	11330.7068779402
Tbc1d8	253.412080253686	231.377556564204	222.05884358607	184.758355357357	201.272950913335	265.577228645072
Cnot11	614.852417826673	532.373138997283	725.538795875277	786.892513479828	778.374155302012	442.040503492295
Rnf149	1430.61720206961	1444.57403677917	1628.06508589589	1874.29560495054	1263.7447670178	1072.01439469688
Map4k4	2310.99701872784	2301.49003166518	2460.23609874071	2258.28134349444	3312.09780728625	3016.63968351329
Il1r1	115.095526489722	78.8321763515207	124.221036263494	35.616068502623	138.931771426904	168.522427479099
Il18r1	50.4804940744395	53.2373138997283	39.5748434113787	33.3900642212091	107.761181683688	145.58220174896
Il18rap	34.3267359706188	29.6900404440792	61.5608675288114	41.1810792061579	141.603536262037	103.231015785626
Slc9a4	195.864317008825	202.711310618196	100.036409734318	129.108248322008	144.275301097169	135.876721632362
Slc9a2	8527.16505905431	9418.90938225962	10725.8818656895	14225.2803603758	2548.86365271666	5466.83225476699
Mfsd9	640.092664863892	795.488325001709	532.06178364187	716.773378615288	223.537657872775	482.627056707157
Tmem182	6.05765928893273	3.07138349421509	12.0923132645879	13.3560256884836	9.79647106215348	2.64694912270836
Mrps9	709.755746686619	681.847135715751	798.092675462805	800.248539168311	843.387099623576	1000.54676838376
Tgfbrap1	681.486670004933	724.846504634762	919.015808108684	825.847588404572	821.122392664137	577.034908750421
AI597479	389.709414254673	427.94610019397	462.805807671957	362.838697870472	501.401200726582	493.21485319799
Fhl2	1246.86820363865	1644.21396390315	1323.55865186944	1773.0124101462	1126.59417214765	2545.4827396712
Nck2	1507.34755306276	1778.33104315054	1310.36703739898	1442.45077435623	1322.52359339072	1835.21805841113
Uxs1	1153.98409454169	1080.10319546564	1054.22985643089	1318.90753673776	1226.34005932594	1198.18563621265
Tpp2	2116.1423116005	1831.56835705027	1990.83448383352	1963.33577620709	2546.19188788153	2221.67263032655
Tex30	66.6342521782601	45.0469579151547	92.3413012932171	69.0061327238321	161.196478386344	101.466383037154
Bivm	539.131676715013	484.254797587913	540.856193288843	524.224008272983	554.836497429238	561.153214014171
Ercc5	752.159361709148	823.130776449645	726.638097081148	688.948325097614	836.262393396556	737.616488861395
Gulp1	720.861455382995	603.01495936423	624.403084935087	490.833944051774	583.335322337321	587.622705241255
Wdr75	323.075162076413	255.948624517924	424.33026546645	297.171571568761	970.741223431572	413.80637951674
Slc40a1	2055.56571871117	2016.87516120124	3034.0713282057	4421.95750502879	570.867086440034	986.42970639598
Dnah7b	36.3459557335964	48.1183414093698	30.7804337644057	10.0170192663627	33.8423545783484	29.1164403497919
Dnah7c	12.1153185778655	3.07138349421509	3.29790361761489	3.33900642212091	7.12470622702071	5.29389824541671
Slc39a10	1290.28142854267	1027.88967606398	1083.91098898943	703.417352926805	2020.74480363875	1243.18377129869
Tmeff2	0	2.0475889961434	9.89371085284468	15.5820299698976	0	0
Cavin2	159.518361275229	158.688147201113	185.781903792306	148.029284714027	106.870593405311	84.7023719266674
Nabp1	748.120922183193	699.25164218297	768.411542904271	780.214500635586	780.155331858768	700.559201143478
Myo1b	748.120922183193	833.368721430362	622.204482523343	755.728453540032	397.202372156405	219.696777184793
Stat1	378.603705558296	360.375663321238	322.095253320388	461.895888393392	235.115305491683	132.347456135418
Gls	3609.35532632242	3299.68966728508	5087.56598077391	6232.81198795903	4488.56492302305	4428.34588229108
Nab1	2148.44982780814	2230.84821129823	2074.38137547977	1882.08661993549	2559.55071205719	2185.49765898287
Nemp2	65.6246422967713	64.499053378517	41.773445823122	53.4241027539345	84.6058864458709	104.113332159862
Mfsd6	3222.67474171222	3261.80927085643	3186.87419582186	3097.4849575875	2503.4436505194	2818.11849931016
Inpp1	267.546618594529	241.615501544921	288.016915938367	168.063323246752	290.331778751094	227.637624552919
Hibch	380.622925321273	288.710048456219	373.762409996355	387.324744966025	364.250605856434	362.632029811045
1700019D03Rik	35.3363458521076	35.8328074325094	64.8587711464263	97.9441883822133	12.4682358972862	31.7633894725003
Pms1	42.4036150225291	37.8803964286528	49.4685542642234	48.9720941911067	77.4811802188502	43.2335023375698
Ormdl1	318.027112668969	297.924198938864	335.286867790848	420.714809187235	321.50236849431	267.341861393544
Osgepl1	84.8072300450583	69.6180258688754	79.1496868227575	101.283194804334	110.432946518821	132.347456135418
Asnsd1	154.470311867785	125.926723262819	169.292385704231	181.419348935236	170.102361170119	160.581580110974
Stk17b	1273.11806055736	1367.78944942379	2168.92127918473	2899.37057654166	847.840041015464	1114.36558066022
Gtf3c3	651.198373560269	567.182151931721	528.763880024255	450.765866986323	586.007087172453	594.681236235144
Pgap1	16168.902252043	16014.1935388375	12720.0142531406	9648.61555778872	17948.9161624219	18756.2814835114
Ankrd44	540.141286596502	552.849028958717	514.472964347924	412.923794202286	364.250605856434	412.041746768267
Sf3b1	5840.59316441265	6264.59853370072	4823.73369136472	4992.92760321147	5620.50262484096	8576.11515757507
Coq10b	1053.02310639281	1080.10319546564	1038.83963954869	1190.91229055646	911.962397058651	956.430949671952
Hspd1	5822.42018654585	4093.13040329065	7189.42988640047	5581.70573564545	12121.7970569974	4812.15350508379
Hspe1	1723.40406770136	1272.57656110312	1750.08751974764	1483.63185356239	2311.96717066822	1318.18066310876
Mob4	1428.59798230664	1302.2666015472	1448.87898933881	1633.88714255783	1253.94829595564	1183.18625785063
Rftn2	18.1729778667982	14.3331229730038	40.6741446172504	40.0680770654509	17.8117655675518	2.64694912270836
Mars2	368.507606743408	277.44830897743	518.87016917141	345.030663619161	626.974147977822	334.397905835489
Plcl1	15.1441482223318	5.11897249035849	7.69510844110142	6.67801284424182	21.3741186810621	46.7627678345143
Satb2	3562.91327177394	3796.22999884986	3428.72046111362	3267.77428511566	3061.84250106215	3408.38815367413
1700066M21Rik	183.74899843096	176.092653668332	201.172120674509	193.662372483013	230.662364099795	198.521184203127
Tyw5	88.8456695710134	73.7132038611622	97.8378073225752	90.1531733972646	134.478830035016	82.055422803959
Maip1	190.816267601381	169.949886679902	196.774915851022	239.295460251998	259.161189007878	208.226664319724
Spats2l	170.624069971605	159.711941699185	101.13571094019	121.31723333706	51.6541201459001	62.6444625707644
Kctd18	190.816267601381	152.545380212683	156.100771233772	156.933301839683	169.211772891742	201.168133325835
Sgo2a	73.7015213486816	66.5466423746604	89.0433976756022	73.45814128666	147.83765421068	81.1731064297229
Aox1	3.02882964446637	1.0237944980717	3.29790361761489	1.11300214070697	16.9211772891742	46.7627678345143
Bzw1	5747.70905531568	4744.26370406425	6638.67998225878	6117.05976532551	9323.56868633498	4952.44180858733
Clk1	1320.56972498734	1229.57719218411	905.824193638224	1041.77000370172	828.247098891157	2459.01573499606
Ppil3	200.912366416269	133.093284749321	198.973518262765	168.063323246752	320.611780215932	192.344969583474
Nif3l1	396.776683425094	378.803964286528	529.863181230126	416.262800624407	698.221210248029	320.280843847711
Orc2	344.276969587677	164.830914189543	333.088265379104	237.069455970585	548.602379480595	246.166268411877
Fam126b	611.823588182206	585.610452897011	674.970940405182	592.117138856108	659.035325999416	631.738523953061
Ndufb3	1152.9744846602	1171.22090579402	1011.3571094019	1100.75911715919	902.165925996497	1034.95710697897
Cflar	2766.33107527928	2924.98088099084	2596.54944826879	2732.42025543561	3183.85309519988	3406.62352092565
Casp8	3726.47007257512	3847.41972375344	3320.9889429382	3469.22767258362	3199.88368421068	4048.94984136955
Trak2	3670.94152909324	3856.63387423609	4648.94479963113	4516.56268698888	3848.23195086956	3256.62973730551
Stradb	889.466305591623	910.153308785739	915.717904491069	1229.8673654812	385.624724537496	702.32383389195
Tmem237	114.085916608233	103.403244305241	108.830819381292	110.18721192999	139.822359705281	87.3493210493757
Als2	261.488959305596	220.115817085415	327.591759349746	268.23351591038	369.594135526699	208.226664319724
Fzd7	858.168399265471	1055.53212751192	579.33173549435	621.055194514489	383.843547980741	907.02123271473
Sumo1	2203.97837129003	2268.72860772688	2072.18277306803	2430.79667530402	1874.68832598482	2244.61285605669
Nop58	782.447658153812	494.49274256863	1210.33062766467	840.316616233762	2358.27776114385	768.497561959659
Bmpr2	2712.82175156038	2731.48372085529	2217.29053224308	2138.07711229809	2165.02010473592	2842.82335778877
Fam117b	1630.51995860439	1708.71301728166	1919.37990545187	2077.97499669991	1646.69772672016	1626.9913940914
Ica1l	0	4.09517799228679	5.49650602935816	0	6.23411794864312	7.94084736812507
Wdr12	213.027684994135	154.592969208826	324.293855732131	193.662372483013	596.694146512984	255.871748528474
Carf	106.009037556323	133.093284749321	90.1426988814738	85.7011648344367	122.901182416107	170.287060227571
Nbeal1	2132.29606970432	2012.77998320896	2275.55349615428	2416.32764747483	1943.2636234199	1754.92726835564
Cyp20a1	415.959271173381	371.637402800026	383.656120849199	323.883622945728	634.989442483221	406.747848522851
Abi2	123.172405541632	109.546011293672	147.306361586799	102.396196945041	243.130599997082	140.288303503543
Raph1	4842.08899162023	5561.25171352546	3782.69544940428	3921.10654171065	3096.57544391888	5996.22207930866
Pard3b	373.555656150852	463.778907626479	486.990434201133	521.998003991569	369.594135526699	603.504399977505
Nrp2	626.967736404538	713.584765155973	303.40713282057	230.391443126343	818.450627829004	1807.86625080981
Ino80d	1411.43461432133	1617.59530695328	1444.48178451532	1150.84421349101	1310.05535749343	1784.04370870543
Ndufs1	2406.90995746927	2556.41486168503	2687.79144835614	2769.14932607894	2322.65423000875	2093.73675606231
Eef1b2	12735.2190450996	12280.41500437	11998.8726620889	12551.3251407525	11948.1323427137	11992.4441586173
Fastkd2	211.008465231157	144.355024228109	263.832289409192	211.470406734324	415.014137723956	188.815704086529
Klf7	244.325591320287	311.233527413796	230.853253233043	188.097361779478	127.354123807995	449.099034486184
Creb1	1257.97391233503	1139.4832763538	1294.97682051678	1041.77000370172	1258.40123734753	1383.47207480223
Mettl21a	236.248712268377	235.472734556491	230.853253233043	277.137533036035	215.522363367376	255.871748528474
