	HCO118C	HCO118OE	HCO80C	HCO80OE	HCO83C	HCO83OE	HCO88C	HCO88OE	HCO89C	HCO89OE
SCPEP1	139.412142912912	180.480338225081	287.645063352587	462.194429168766	123.127310063444	281.558252699109	167.241323144073	209.804548738786	314.510398215925	435.280547673785
AKAP1	3319.51615962908	3583.95024583237	3033.43658335558	3240.15555220179	1037.15346765154	1545.3949208297	2056.30808683963	1902.29483186602	2520.3915473468	2195.45879921179
MSI2	3491.89739039302	3309.69090833347	3107.5417522193	3062.75727544614	2651.11955902371	2074.63975673028	2207.39541854365	2077.96849707793	3200.03559280655	2848.37962072247
MRPS23	266.578624624015	267.181677176345	213.53989448887	274.248146768189	685.519618191068	686.959796998955	190.046958118265	267.023971122091	254.193335544378	206.607817559446
CUEDC1	282.592181580228	257.449894232836	264.243431079834	250.275406666075	388.239265965815	522.893897869774	408.60095995427	497.909359686305	443.761246797812	492.44873020237
VEZF1	726.261906661186	596.292882175022	615.267915171126	578.222491263	418.189152197464	473.14488329512	575.842283098343	514.974801449747	514.84921351785	514.513642757262
SRSF1	261.868754931011	325.572374837401	312.021763636704	427.673683421721	408.205856786914	543.005201633997	291.722080711537	295.131757555995	319.89585024017	415.221536260247
DYNLL2	1610.7754350073	1848.15405172644	1735.62106022917	1844.94207825873	775.369276886014	1181.2744737301	1265.71274106764	1178.51933119299	1559.62690622144	1827.37593977336
MKS1	58.4023841932471	68.1224806045649	71.1799648296232	118.904790906488	55.4627522808308	87.8546427594965	122.580287986281	71.2733156002573	126.01957736734	94.2773536436309
LPO	0	16.8094432660615	0.975068011364701	8.63018643676119	9.98329541054954	34.9301591694384	10.4525826965046	30.1154854648975	63.5483338860944	167.492745303046
TSPOAP1	2.82592181580228	6.19295278223317	1.9501360227294	0	1.10925504561662	4.23395868720465	19.9549306024178	15.0577427324487	3.23127121454717	15.0442585601539
RNF43	394.687080273718	442.353770159512	421.229380909551	439.180598670736	148.640176112626	247.686583201472	281.269498015032	304.166403195464	448.069608417208	434.277597103108
MTMR4	1006.02816642561	1162.5057079792	552.863562443785	720.141112667517	531.333166850359	767.405012055843	1260.96156711469	1159.44619039855	1184.79944533396	1717.05137699889
RAD51C	21.6654005878175	47.7742071772273	24.3767002841175	23.0138304980298	59.8997724632972	83.6206840722919	24.7061045553744	38.1462815888701	45.2377970036604	47.1386768218155
TRIM37	223.24782344838	242.409866047413	284.719859318493	269.453598747766	183.027082526742	226.516789765449	195.748366861813	208.800699223289	161.563560727359	122.359969622585
SKA2	295.779816720639	217.63805491848	420.254312898186	494.797355707642	205.212183439074	229.692258780852	189.096723327674	186.716009882364	182.028278419491	114.336365057169
PRR11	689.524923055756	488.358562256101	806.381245398608	788.223694557522	57.681262372064	94.2055807903035	442.809412415557	371.424320733735	381.290003316567	249.734692098554
SMG8	145.063986544517	161.901479878381	126.758841477411	173.562638339308	177.480807298658	143.954595364958	163.440383981708	164.63132054144	154.023927893415	119.351117910554
GDPD1	22.6073745264182	21.2329809676566	26.3268363068469	6.71236722859204	65.4460476913803	88.9131324312977	75.0685484567147	40.1539806198633	38.7752545745661	21.0619619842154
YPEL2	500.188161397003	450.316138022383	344.199008011739	272.33032756002	352.743104506084	250.862052216876	537.83289147469	453.739981004455	465.303054894793	368.082859438431
DHX40	427.656168124745	323.802959756763	405.628292727716	390.276208862423	543.534972352141	410.693992658851	858.062015903966	775.975675478858	357.594014409887	380.118266286554
